GP022552158
TEST NBR 00123
LMG6 GPS
EDWARDS AFB, CA
2132Z  12 SEP 17

  ALT  DIR   SPD  SHR  TEMP  DPT   PRESS   RH ABHUM DENSITY I/R V/S  VPS  PW
GEOMFT DEG   KTS /SEC DEG C DEG C   MBS   PCT  G/M3   G/M3   N  KTS  MBS  MM

  8900 145  11.1 .023  13.9   4.5  739.04  53  6.36  893.06 238 662  8.43 15
  9000 150  10.2 .022  13.6   4.5  736.36  54  6.36  890.71 237 662  8.41 15
  9100 153  11.6 .025  13.4   4.5  733.71  55  6.36  888.12 237 661  8.41 16
  9200 150  14.2 .046  13.1   4.3  731.02  55  6.27  885.88 236 661  8.29 16
  9300 146  16.2 .039  12.8   4.3  728.38  56  6.28  883.55 235 661  8.28 16
  9400 141  16.5 .023  12.5   4.2  725.78  57  6.28  881.26 235 660  8.27 16
  9500 137  14.6 .035  12.3   4.3  723.12  58  6.30  878.67 235 660  8.30 16
  9600 135  12.6 .035  12.0   4.2  720.56  59  6.29  876.47 234 660  8.28 16
  9700 137  12.4 .009  11.7   4.0  717.94  59  6.17  874.27 233 659  8.12 17
  9800 139  14.3 .033  11.4   3.9  715.33  60  6.16  872.00 232 659  8.09 17
  9900 140  16.0 .030  11.1   3.9  712.74  61  6.15  869.77 232 659  8.06 17
 10000 142  15.2 .017  10.8   3.8  710.10  62  6.13  867.46 231 658  8.03 17
 10100 147  13.0 .041  10.5   3.6  707.52  62  6.03  865.18 230 658  7.89 17
 10200 153  12.0 .030  10.3   3.3  704.92  62  5.94  862.74 229 658  7.77 18
 10300 155  13.1 .020  10.0   3.5  702.39  64  6.02  860.50 229 657  7.86 18
 10400 153  13.9 .016   9.7   3.4  699.84  65  5.99  858.29 228 657  7.83 18
 10500 155  14.2 .009   9.5   3.2  697.29  65  5.91  855.92 227 657  7.70 18
 10600 151  15.5 .028   9.2   3.2  694.71  66  5.90  853.56 227 656  7.68 18
 10700 143  17.0 .047   8.9   3.1  692.13  67  5.87  851.29 226 656  7.64 19
 10800 139  15.9 .027   8.6   2.9  689.64  67  5.77  849.08 225 656  7.51 19
 10900 148  13.7 .053   8.3   2.8  687.09  68  5.75  846.81 225 655  7.47 19
