time_s,north_vel_fps,east_vel_fps,down_vel_fps,height_ft,total_pres_psi,static_pres_psi,total_temp_K,aoa_rad,aos_rad,roll_angle_rad,pitch_angle_rad,true_heading_rad
0,29.733841022,-1089.176856064,1.541868617,21462.2703412073,13.3866870333029,6.66409625519938,317.803702169341,-0.220814420430286,-0.0166217971921314,0.00920388462259409,0.00488956370575311,-1.588628835379
0.05,29.733841022,-1089.176856064,1.541868617,21462.2703412073,13.3605537339606,6.66399133228834,317.765720405978,-0.220843570545506,-0.0166097859123429,0.00872451563183398,0.00469781610944907,-1.58853296158085
0.1,29.733841022,-1089.176856064,1.541868617,21462.2703412073,13.3605537339606,6.66399133228834,317.730903789561,-0.220843570545506,-0.01663380847192,0.00853276803552994,0.00450606851314502,-1.58853296158085
0.15,29.733841022,-1089.176856064,1.541868617,21462.2703412073,13.3605537339606,6.66399133228834,317.696087173145,-0.220843570545506,-0.01663380847192,0.0083410204392259,0.00421844711868896,-1.58853296158085
0.2,29.796648067,-1088.26662208,1.801342665,21462.2703412073,13.3605537339606,6.66399133228834,317.664435703675,-0.220901870775946,-0.01663380847192,0.00814927284292185,0.00412257332053694,-1.58853296158085
0.25,29.796648067,-1088.26662208,1.801342665,21462.2703412073,13.3605537339606,6.66399133228834,317.629619087258,-0.220960171006385,-0.01663380847192,0.00814927284292185,0.00393082572423289,-1.58853296158085
0.3,29.796648067,-1088.26662208,1.801342665,21462.2703412073,13.3605537339606,6.66399133228834,317.591637323895,-0.220989321121605,-0.0165977746325544,0.00814927284292185,0.00402669952238492,-1.58853296158085
0.35,29.796648067,-1088.26662208,1.801342665,21462.2703412073,13.3377629787842,6.66409625519938,317.559985854425,-0.220960171006385,-0.0165977746325544,0.00824514664107387,0.00421844711868896,-1.58853296158085
0.4,29.905070552,-1086.89297184,2.207688132,21462.2703412073,13.3377629787842,6.66409625519938,317.528334384955,-0.220785270315066,-0.0166097859123429,0.00824514664107387,0.00431432091684098,-1.58853296158085
0.45,29.905070552,-1086.89297184,2.207688132,21462.2703412073,13.3377629787842,6.66409625519938,317.493517768539,-0.220610369623746,-0.0166097859123429,0.00824514664107387,0.00488956370575311,-1.5884370877827
0.5,29.905070552,-1086.89297184,2.207688132,21462.2703412073,13.3377629787842,6.66409625519938,317.452370858228,-0.220552069393306,-0.0165977746325544,0.00824514664107387,0.00517718510020918,-1.58834121398454
