time_s,north_vel_fps,east_vel_fps,down_vel_fps,height_ft,total_pres_psi,static_pres_psi,total_temp_K,aoa_rad,aos_rad,roll_angle_rad,pitch_angle_rad,true_heading_rad
0,50.96804574,-1088.980358784,-0.865861908,23050.5249343832,12.5740141203455,6.25126956722357,314.33153596852,-0.220173117895446,-0.0165257069538233,-0.0022050973574965,0.00786165144846579,-1.56581087141882
0.05,50.96804574,-1088.980358784,-0.865861908,23050.5249343832,12.5682208767574,6.25126956722357,314.328370821573,-0.220231418125886,-0.0165016843942462,-0.00191747596304044,0.00776577765031377,-1.56590674521697
0.1,50.96804574,-1088.980358784,-0.865861908,23050.5249343832,12.5682208767574,6.25126956722357,314.322040527679,-0.220260568241106,-0.0164896731144577,-0.00191747596304044,0.00766990385216174,-1.56590674521697
0.15,50.960898304,-1088.81583808,-1.162533898,23050.5249343832,12.5682208767574,6.25126956722357,314.315710233786,-0.220348018586766,-0.0164896731144577,-0.00201334976119246,0.0074781562558577,-1.56609849281328
0.2,50.960898304,-1088.81583808,-1.162533898,23050.8530183727,12.5682208767574,6.25126956722357,314.312545086839,-0.220377168701986,-0.0165016843942462,-0.0022050973574965,0.00728640865955366,-1.56609849281328
0.25,50.960898304,-1088.81583808,-1.162533898,23050.8530183727,12.5682208767574,6.25126956722357,314.312545086839,-0.220464619047646,-0.0164896731144577,-0.00249271875195257,0.00709466106324961,-1.56609849281328
0.3,50.960898304,-1088.81583808,-1.162533898,23050.8530183727,12.5682208767574,6.25126956722357,314.309379939892,-0.220610369623746,-0.0164896731144577,-0.00287621394456065,0.00690291346694557,-1.56609849281328
0.35,50.964761886,-1088.578942912,-1.245673377,23050.8530183727,12.5662048579668,6.25126956722357,314.306214792945,-0.220639519738966,-0.0165136956740347,-0.00354733053162481,0.00671116587064153,-1.56600261901512
0.4,50.964761886,-1088.578942912,-1.245673377,23050.8530183727,12.5662048579668,6.25126956722357,314.303049645998,-0.220697819969406,-0.0165016843942462,-0.00393082572423289,0.0066152920724895,-1.56600261901512
0.45,50.964761886,-1088.578942912,-1.245673377,23050.8530183727,12.5662048579668,6.25126956722357,314.303049645998,-0.220668669854186,-0.0165257069538233,-0.00450606851314502,0.00651941827433748,-1.56590674521697
0.5,50.964761886,-1088.578942912,-1.245673377,23050.8530183727,12.5662048579668,6.25126956722357,314.299884499051,-0.220668669854186,-0.0165016843942462,-0.00488956370575311,0.00651941827433748,-1.56590674521697
0.55,50.942976318,-1088.428457728,-1.151088084,23050.8530183727,12.5662048579668,6.25126956722357,314.299884499051,-0.220581219508526,-0.0165136956740347,-0.00536893269651322,0.0066152920724895,-1.56571499762067
0.6,50.942976318,-1088.428457728,-1.151088084,23050.8530183727,12.5662048579668,6.25126956722357,314.296719352104,-0.220639519738966,-0.0165257069538233,-0.00556068029281726,0.0066152920724895,-1.56571499762067
0.65,50.942976318,-1088.428457728,-1.151088084,23050.8530183727,12.5590850890034,6.25107471038878,314.293554205157,-0.220610369623746,-0.0165257069538233,-0.00575242788912131,0.00671116587064153,-1.56571499762067
0.7,50.942976318,-1088.428457728,-1.151088084,23051.5091863517,12.5590850890034,6.25107471038878,314.293554205157,-0.220668669854186,-0.0165257069538233,-0.00575242788912131,0.00671116587064153,-1.56561912382252
0.75,50.88631172,-1088.191684608,-1.016724678,23051.5091863517,12.5590850890034,6.25107471038878,314.29038905821,-0.220552069393306,-0.0165377182336118,-0.00575242788912131,0.00680703966879355,-1.56561912382252
0.8,50.88631172,-1088.191684608,-1.016724678,23051.5091863517,12.5590850890034,6.25107471038878,314.284058764316,-0.220522919278086,-0.0165497295134002,-0.00575242788912131,0.00690291346694557,-1.56561912382252
0.85,50.88631172,-1088.191684608,-1.016724678,23051.5091863517,12.5590850890034,6.25107471038878,314.284058764316,-0.220581219508526,-0.0165377182336118,-0.00565655409096929,0.00690291346694557,-1.56571499762067
0.9,50.88631172,-1088.191684608,-1.016724678,23051.8372703412,12.5590850890034,6.25107471038878,314.280893617369,-0.220610369623746,-0.0165136956740347,-0.00575242788912131,0.00680703966879355,-1.56571499762067
0.95,50.836580974,-1088.015691392,-0.896219441,23051.8372703412,12.5525498905444,6.25083488659212,314.271398176528,-0.220668669854186,-0.0165016843942462,-0.00575242788912131,0.00671116587064153,-1.56581087141882
1,50.836580974,-1088.015691392,-0.896219441,23051.8372703412,12.5525498905444,6.25083488659212,314.268233029581,-0.220639519738966,-0.0165136956740347,-0.00575242788912131,0.00651941827433748,-1.56581087141882
1.05,50.836580974,-1088.015691392,-0.896219441,23051.8372703412,12.5525498905444,6.25083488659212,314.265067882634,-0.220610369623746,-0.0164896731144577,-0.00604004928357737,0.00632767067803344,-1.56581087141882
1.1,50.836580974,-1088.015691392,-0.896219441,23051.8372703412,12.5525498905444,6.25083488659212,314.25873758874,-0.220668669854186,-0.0164776618346691,-0.00623179687988142,0.00604004928357737,-1.56590674521697
